TWLVC1|20260921|202609211813|1870|code,fgn,fgnD,inv,invD,dlrH,mgn,mgnChg,shrt,sr,big,bigChg,small,smallChg,holders,holdersChg,mgnRate,mgnCost,mgnConf
3058,262,3,0,0,0,,,,,15.15,,63.49,,49847,,,,
3059,187.921,1,0,0,-2.741,,,,,19.19,,66.24,,95746,,,,
3060,124.449,1,0,0,0.446,,,,,12.43,,64.02,,70106,,,,
3062,-302.601,-2,0,0,14.962,,,,,15.87,,65.75,,72197,,,,
3066,-88.811,-1,0,0,-1.112,,,,,68.99,,17.82,,4947,,,,
3071,42,4,0,0,0.961,,,,,56.15,,34.62,,11187,,,,
3073,-4,-1,0,0,0,,,,,37.94,,27.43,,4159,,,,
3078,482.304,7,47.458,5,0.457,,,,,28.88,,54.30,,59195,,,,
3081,-837.27,-4,6,4,-11.599,,,,,29.87,,33.78,,75673,,,,
3083,11,5,0,0,0,,,,,53.10,,38.28,,8803,,,,
3086,15,1,0,0,-0.01,,,,,83.02,,10.93,,7986,,,,
3088,319.992,1,0,0,1.519,,,,,38.23,,39.74,,16840,,,,
3090,-179,-1,1,1,-28.171,,,,,54.48,,34.25,,72113,,,,
3092,13,4,0,0,0,,,,,30.30,,48.63,,32043,,,,
3093,71.37,4,0,0,0.827,,,,,71.63,,19.32,,7823,,,,
3094,1105,4,0,0,10,,,,,14.98,,63.46,,41688,,,,
3095,-1,-1,0,0,0,,,,,41.42,,34.41,,25359,,,,
3105,-2854.952,-1,707,11,-167.248,,,,,48.25,,38.12,,132331,,,,
3114,17,4,0,0,0.821,,,,,41.34,,35.21,,7872,,,,
3118,0,0,0,0,-0.002,,,,,18.48,,42.81,,41910,,,,
